signal_cycle,phase,follower_id,leader_id,follower_type,leader_type,min_TTC_s,max_DRAC_mps2,mean_TTC_s,interaction_duration_s,n_timesteps,critical_TTC,critical_DRAC,is_critical
1,GREEN,43,22,truck,car,83.8526228143214,0.0007161374085217,133.70832158098952,0.4,3,False,False,False
1,GREEN,45,7,car,car,9.593620832185175,0.0756544387876002,9.593620832185175,0.0,1,False,False,False
1,GREEN,45,71,truck,car,25.488611315209408,0.0133490991640242,42.73754818647868,0.4,3,False,False,False
1,GREEN,45,73,truck,car,1.313006141638133,0.7228969418147005,1.7555686792030223,0.6,4,True,False,True
1,GREEN,45,74,truck,car,1.027260718145791,0.4053011982698153,1.027260718145791,0.0,1,True,False,True
1,GREEN,45,75,truck,car,7.59121798222687,0.1134007746866822,22.446150235430622,1.0,6,False,False,False
1,GREEN,45,80,truck,car,20.120037986704645,0.0130839713212249,20.120037986704645,0.0,1,False,False,False
1,GREEN,45,80,truck,truck,5.333866011063308,0.1525160171464128,6.30308319206355,0.4,3,False,False,False
1,GREEN,47,22,car,car,3.039178235348924,0.3531546743512316,7.982015905335111,2.4,13,False,False,False
1,GREEN,49,17,car,car,5.307316024297156,0.1752580769152858,38.591509019193005,0.4,3,False,False,False
1,GREEN,49,22,car,car,4.526791158536585,0.2898300261821978,9.681173073874303,2.4,13,False,False,False
1,GREEN,49,47,car,car,0.2182910547396529,3.088078899082568,0.48158974043689795,0.6,4,True,False,True
1,GREEN,49,52,car,truck,1.1730238597630258,0.5252237581292374,1.3302602322794828,0.4,3,True,False,True
1,GREEN,50,17,car,car,6.268850461596139,0.1701986682464809,34.201144861542794,0.4,3,False,False,False
1,GREEN,50,22,car,car,5.661721820717637,0.219522752389116,8.390060955004012,2.6,14,False,False,False
1,GREEN,50,47,car,car,1.669943062631106,0.5008310848208107,2.247792219385608,0.8,5,False,False,False
1,GREEN,50,52,car,truck,3.364975888551527,0.1663904938828588,3.364975888551527,0.0,1,False,False,False
1,GREEN,52,22,truck,car,1.475963177633822,0.298076541926542,2.5112700512990456,1.2,7,True,False,True
1,GREEN,53,7,truck,car,3.8007655261644624,0.732063049100494,4.871328080695332,0.6,4,False,False,False
1,GREEN,53,22,truck,car,24.35147499605616,0.0130156386851856,24.35147499605616,0.0,1,False,False,False
1,GREEN,53,41,truck,car,0.5294190819753701,3.0369135808270675,0.5672832377060955,0.2,2,True,False,True
1,GREEN,53,47,truck,car,196.23293172690737,6.344500839097886e-05,196.23293172690737,0.0,1,False,False,False
1,GREEN,55,17,car,car,16.266422721728528,0.0352812668044947,16.266422721728528,0.0,1,False,False,False
1,GREEN,55,22,car,car,4.604499149009645,0.4402324627285438,7.022038322108559,3.0,16,False,False,False
1,GREEN,55,47,car,car,2.354849874534914,0.7361615781738013,4.180219216483492,1.2,7,False,False,False
1,GREEN,55,49,car,car,0.2174743024963289,3.131404456448346,1.2420169700446397,2.2,12,True,False,True
1,GREEN,55,50,car,car,0.2182911257714408,4.305259761150376,0.5050991647149995,0.4,3,True,True,True
1,GREEN,55,52,car,truck,3.623761423761424,0.2868566327749609,3.623761423761424,0.0,1,False,False,False
