timestamp_s,mean_speed_kmh,median_speed_kmh,n_vehicles,std_speed_kmh,smooth_speed_kmh,phase,signal_cycle
100.033,5.953399999999999,5.5934,3,2.439801639478095,7.504883571428564,GREEN,2
100.1,8.67896,9.5094,5,6.821667931525251,7.930716904761899,GREEN,2
100.167,5.72652,5.4987,5,1.57781756454921,6.64789666666666,GREEN,2
100.2,4.825366666666667,6.574,3,3.9755706663739905,7.022342380952374,GREEN,2
100.233,9.187566666666667,6.035,3,8.125088274187139,7.208278095238088,GREEN,2
100.3,7.2313833333333335,6.385300000000001,6,6.234590635612467,6.635655238095231,GREEN,2
100.333,7.5532,6.6452,3,4.163433709091572,7.1107714285714225,GREEN,2
100.367,7.25495,6.5299499999999995,4,2.566757503803843,7.404685714285708,GREEN,2
100.4,4.6706,5.9309,3,4.037089623726479,7.141152380952375,GREEN,2
100.433,9.052333333333333,6.5182,3,7.854336131292914,7.275586904761899,GREEN,2
100.5,6.882766666666666,5.93865,6,6.126512195586218,7.175053571428565,GREEN,2
100.533,7.342833333333334,7.1425,3,3.8035588917924397,7.319452142857137,GREEN,2
100.567,8.172425,6.90355,4,3.6618725896049416,7.255047380952375,GREEN,2
100.633,6.849466666666667,6.9342,3,3.92878536106687,7.154346190476184,GREEN,2
100.7,8.26574,6.1294,5,6.112762137773725,7.21256166666666,GREEN,2
100.733,4.2197666666666676,3.9884,3,3.9909829996297073,6.818691190476183,GREEN,2
100.767,8.347425000000001,7.3336500000000004,4,3.391092805547105,6.7740076190476115,GREEN,2
100.8,7.290274999999999,7.5149,4,1.2812911206409465,6.78012666666666,GREEN,2
100.833,4.5857399999999995,3.2349,5,5.165185081195058,6.644187619047612,GREEN,2
100.9,7.859640000000001,5.7492,5,5.473685213181335,6.765406666666659,GREEN,2
100.967,6.892300000000001,5.8284,6,5.779315616922129,6.6151888095238025,GREEN,2
101.0,7.314166666666666,7.8636,3,1.849988595460343,7.05918166666666,GREEN,2
101.033,5.0683,3.5053,5,5.776919136962192,7.476771190476184,GREEN,2
101.1,7.2959000000000005,5.1636,5,4.4473180586731145,7.097961904761898,GREEN,2
101.167,10.398225,8.325,4,6.429358894101858,7.277011904761898,GREEN,2
101.2,7.508866666666667,8.3035,3,2.060656478730342,7.366088095238089,GREEN,2
101.233,5.207975,5.9784999999999995,4,4.165937089759438,8.225080952380946,GREEN,2
101.3,8.14565,7.770849999999999,6,4.275630552210984,8.278342857142851,GREEN,2
101.333,7.9377,3.9984,3,10.42363653289964,7.679634523809518,GREEN,2
101.367,11.08125,9.4012,4,6.900831025077101,7.733536904761898,GREEN,2
101.4,7.668733333333333,8.6511,3,2.241200147986192,8.047264285714279,GREEN,2
101.433,6.2072666666666665,8.9965,3,5.216165532585535,8.645507142857136,GREEN,2
101.5,7.886183333333332,7.92845,6,3.9399203572745822,8.62444047619047,GREEN,2
101.533,7.404066666666666,3.2485,3,10.088948820532957,8.052461904761898,GREEN,2
101.567,12.33335,10.03555,4,8.796243644685308,8.097397619047612,GREEN,2
101.6,7.790233333333333,9.1671,3,2.6131162246125466,8.060069047619042,GREEN,2
101.633,7.0774,10.3312,3,5.982764627661696,8.684307142857136,GREEN,2
101.7,7.983283333333333,7.392250000000001,6,4.426113457839357,8.777797619047613,GREEN,2
101.733,5.945966666666667,0.2025,3,10.073723692028352,7.9899440476190415,GREEN,2
101.767,12.255849999999999,11.33995,4,7.950669786669967,8.30211928571428,GREEN,2
101.8,8.0585,9.6549,3,2.978855431201722,8.968601428571422,GREEN,2
101.833,6.818375,8.05685,4,4.656963142345735,8.881650238095231,GREEN,2
101.9,9.975460000000002,9.2238,5,5.570836075312215,8.915469285714279,GREEN,2
101.967,11.742775,9.61945,4,8.17715332715691,7.6025573809523745,GREEN,2
102.0,7.374625,7.345000000000001,4,3.1324292196047034,7.777043095238089,GREEN,2
102.033,6.1827,7.0394,3,5.614882998781008,8.419049523809518,GREEN,2
102.067,3.065466666666666,3.546,3,1.2820230003136968,8.551458809523803,GREEN,2
102.1,9.279900000000001,8.0295,5,5.0981210244559705,7.854648095238089,GREEN,2
102.167,11.31242,6.3375,5,8.922826219701916,7.244382619047612,GREEN,2
102.2,10.902325000000001,10.47015,4,5.979023273286365,7.730157619047612,GREEN,2
102.233,6.865099999999999,7.5112,3,6.3153862280940505,8.929814761904755,GREEN,2
102.267,3.1027666666666662,3.4406,3,1.2798398037775405,9.35860404761904,GREEN,2
102.3,9.583124999999999,7.02805,4,7.685067976439767,8.802429761904756,GREEN,2
102.367,11.463066666666668,6.8815,3,10.04719454093198,8.471840476190469,GREEN,2
102.4,12.281425,10.7406,4,8.55283795878109,9.09526547619047,GREEN,2
102.433,7.4192,8.0077,3,6.809250047545619,10.353777380952375,GREEN,2
102.5,8.5882,6.4699,5,7.006940680496732,9.941035714285707,GREEN,2
102.567,11.229075,9.303,4,7.608209577105947,9.900630952380947,GREEN,2
102.6,11.91235,11.8032,4,7.062091321273041,9.597584523809518,GREEN,2
102.633,6.693933333333334,4.9875,3,7.3093030285611595,10.085127380952375,GREEN,2
102.7,11.180233333333334,9.4189,3,6.023438863583936,10.188267380952377,GREEN,2
102.767,10.1601,7.6809,3,7.568909332261814,9.271531666666663,GREEN,2
102.8,10.831999999999999,10.8552,5,5.2160575624699534,9.164153095238092,GREEN,2
102.9,9.310179999999999,10.5908,5,6.526085331345278,9.504365476190472,GREEN,2
102.933,4.8119250000000005,4.8119499999999995,4,4.331251860894262,9.09128071428571,GREEN,2
102.967,11.1607,7.5394,3,9.544310671284753,8.296577142857139,GREEN,2
103.0,9.07542,9.2133,5,6.112940205171323,8.481372380952378,GREEN,2
103.1,8.288640000000001,9.8336,5,5.523912562939425,7.773027619047616,GREEN,2
103.133,4.597175,4.66915,4,4.087875092167894,8.44973833333333,GREEN,2
103.2,12.125566666666666,11.4589,3,2.6362967631382723,7.50771333333333,GREEN,2
103.267,4.351766666666666,3.2618,3,3.170144290617279,6.933948571428568,GREEN,2
103.3,9.5489,10.477,5,6.7316058994121155,7.719660714285711,GREEN,2
103.333,4.566525,4.809,4,3.8762003185035043,8.297253571428568,GREEN,2
103.367,5.059066666666666,3.8062,3,2.24395583809783,7.035477380952377,GREEN,2
103.4,13.788625,12.5288,4,3.2397503693700442,6.95621071428571,GREEN,2
103.5,8.640325,7.78875,4,8.011428844001548,7.380664285714282,GREEN,2
103.533,3.2931333333333335,2.2219,3,3.311648312145076,8.00863214285714,GREEN,2
103.567,3.7969,3.63195,4,3.0197530130790495,7.742327380952377,GREEN,2
103.6,12.520075,11.66835,4,3.996958063640398,6.30373452380952,GREEN,2
103.7,8.962299999999999,7.6887,4,8.699615140912844,6.648445238095235,GREEN,2
103.733,3.1949333333333336,2.494,3,2.9829181858263114,7.465664285714283,GREEN,2
103.767,3.718475,3.4770000000000003,4,3.0271588069508346,8.089458571428569,GREEN,2
103.8,11.0533,9.052150000000001,4,5.1607659631751055,6.753219285714282,GREEN,2
103.833,9.013666666666667,8.9455,3,4.593429364138883,6.0031585714285685,GREEN,2
103.9,8.16346,4.6906,5,9.553648080864189,7.032821666666663,GREEN,2
103.933,3.1664,2.8167,3,2.799379979566904,8.076796666666663,GREEN,2
103.967,3.711875,3.2637,4,3.2166113923143818,7.735933809523806,GREEN,2
104.0,10.402574999999999,8.49515,4,4.554398425972413,6.952017142857139,GREEN,2
104.033,11.0263,9.8557,3,2.194584523320985,7.2077514285714255,GREEN,2
104.1,8.66726,3.6476,5,11.379592415504169,7.920491428571425,GREEN,2
104.133,3.52625,3.9564,4,2.3256530688532773,8.102752142857138,GREEN,2
104.2,9.9536,8.63665,4,3.3692536156642556,8.150274761904758,GREEN,2
104.3,8.155579999999999,3.0863,5,11.036014178678823,7.517749761904758,GREEN,2
104.333,4.987699999999999,4.4381,5,3.9950318991217078,6.989738809523805,GREEN,2
104.4,10.735233333333333,7.9751,3,5.072957940229086,7.875079285714281,GREEN,2
104.5,6.598624999999999,5.0361,4,7.275269400452925,8.330727857142852,GREEN,2
104.533,4.971183333333333,4.5713,6,4.129551053766821,7.967887857142854,GREEN,2
104.6,9.723633333333334,8.2193,3,3.8324302633359593,8.148087857142853,GREEN,2
104.7,13.143139999999999,7.4664,5,16.89788484331693,7.823873571428568,GREEN,2
104.733,5.6157,4.7015,5,4.915885913546001,8.198369999999997,GREEN,2
104.767,6.249099999999999,5.5027,3,4.0593955806252735,8.650111666666664,GREEN,2
104.8,8.465733333333333,8.1578,3,1.7388709248628353,8.110375476190473,GREEN,2
104.867,9.2201,4.6106,3,11.932686881419457,7.412155476190472,GREEN,2
104.9,8.133375000000001,4.66995,4,10.364234632418997,7.40947833333333,GREEN,2
104.933,5.945480000000001,5.4136,5,5.060781037251068,7.400612619047615,GREEN,2
105.0,8.2556,8.1378,3,2.1885790070271622,7.111607857142853,GREEN,2
105.067,5.59696,2.6788,5,7.0196167732291475,6.910574523809521,GREEN,2
105.1,6.1870400000000005,5.3547,5,6.068752220844084,6.710535238095234,GREEN,2
105.133,6.4427,6.4642,5,5.02028808187339,7.084923809523806,GREEN,2
105.2,7.812866666666667,8.0888,3,2.414156103762417,6.88848095238095,GREEN,2
105.267,6.7331,2.8095,5,9.15560743042208,7.050796190476187,GREEN,2
105.3,8.566199999999998,5.4409,5,11.312704914608176,7.726036190476187,GREEN,2
105.333,6.8805,6.7047,5,5.7441196679735,7.887907619047616,GREEN,2
105.4,6.7331666666666665,7.9556,3,2.193880544453898,7.568517142857139,GREEN,2
105.5,10.91372,4.8483,5,16.575112466194607,7.508391428571424,GREEN,2
105.533,7.575799999999999,7.4649,5,6.75507415577357,7.48892952380952,GREEN,2
105.6,5.577133333333333,5.802,3,2.5496479371343277,6.909215238095235,GREEN,2
105.7,6.312219999999999,4.5116,5,6.3607691910648665,7.042019999999996,GREEN,2
105.733,8.429966666666667,8.71625,6,6.587232521982708,5.85279333333333,GREEN,2
105.9,2.8225,4.132,3,2.3673581245768456,5.889695374149656,GREEN,2
105.933,7.6628,7.968,7,5.811210414649717,5.75730489795918,GREEN,2
106.1,2.5891333333333333,3.501,3,2.1894743714721425,5.984027040816323,GREEN,2
106.133,7.834114285714286,8.854,7,5.674239542713653,6.239703231292514,GREEN,2
106.267,4.6504,3.3392,3,2.883318256800661,6.555098469387751,GREEN,2
106.3,7.899274999999999,3.6204,4,11.049764596097361,6.610567040816322,GREEN,2
106.333,10.219700000000001,11.39635,6,5.954315936192839,7.7308527551020365,GREEN,2
106.467,5.030266666666667,4.0848,3,3.0541053851059776,7.270693571428567,GREEN,2
106.5,8.05108,3.1044,5,12.142237518143022,7.332293571428567,GREEN,2
106.533,10.431133333333333,11.554,6,6.130522753131797,7.354661428571425,GREEN,2
106.567,4.6129999999999995,3.3473,3,2.3516346803872406,7.311352857142853,GREEN,2
106.667,5.0816,3.7662,3,3.5245710419851095,7.254824285714283,GREEN,2
106.7,8.05585,3.9236,4,10.977692410065059,7.039367142857139,GREEN,2
106.733,9.916540000000001,9.6888,5,6.641886358783926,7.16595952380952,GREEN,2
106.767,4.634566666666667,3.2748,3,2.393826489813607,7.165664285714283,GREEN,2
106.9,6.542879999999999,3.4392,5,8.259253024154182,7.367532857142854,GREEN,2
106.933,11.31728,10.6901,5,8.02977028201928,7.949602857142854,GREEN,2
106.967,4.6109333333333336,3.2864,3,2.3436957680836765,7.209587619047616,GREEN,2
107.1,6.49468,3.4456,5,7.942744997291554,7.324635238095234,GREEN,2
107.133,12.13034,14.0968,5,8.306094662535456,8.143718095238091,GREEN,2
107.167,4.736433333333333,3.6349,3,2.16841164296204,7.283806666666663,GREEN,2
107.3,5.4399,3.3211,5,5.598923756848275,7.370490476190473,GREEN,2
107.333,12.27646,13.8579,5,8.24207807643194,8.15655333333333,GREEN,2
107.367,5.2979,3.97825,4,2.9017361779918365,7.181822619047615,GREEN,2
107.5,5.21772,3.3192,5,5.092347561979642,7.794413095238092,GREEN,2
107.533,11.997119999999999,13.4307,5,7.9405973643045265,7.72252452380952,GREEN,2
107.567,5.307225,4.1714,4,2.8596589194925555,7.791027380952378,GREEN,2
107.667,9.024566666666667,8.0835,3,6.141217832265302,7.848988095238092,GREEN,2
107.7,4.93668,3.3483,5,4.511016963169171,7.752768095238092,GREEN,2
107.733,12.75598,11.8472,5,8.574816216806049,7.317468809523807,GREEN,2
107.767,5.703625000000001,4.7765,4,2.539212994052816,7.425733095238092,GREEN,2
107.9,4.54418,3.4563,5,3.7547347991569255,7.1363854761904735,GREEN,2
