frame_number,vehicle_id,timestamp_s,vehicle_type,x_center_px,y_center_px,x_front_px,y_front_px,x_min,y_min,x_max,y_max,width_px,height_px,confidence,vehicle_length_m,vehicle_width_m
47,21,1.567,car,53.89,159.44,79.01,159.44,28.78,144.12,79.01,174.77,50.24,30.65,0.8382,4.5,1.8
47,25,1.567,truck,378.14,114.42,392.91,114.42,363.36,94.29,392.91,134.55,29.55,40.26,0.4782,8.0,2.5
48,5,1.6,car,272.06,216.17,298.7,216.17,245.42,187.77,298.7,244.57,53.28,56.8,0.897,4.5,1.8
48,2,1.6,car,453.98,226.71,488.28,226.71,419.67,197.68,488.28,255.73,68.61,58.05,0.8538,4.5,1.8
48,7,1.6,car,551.16,168.23,574.77,168.23,527.54,149.65,574.77,186.82,47.23,37.17,0.8234,4.5,1.8
48,9,1.6,car,308.18,162.87,323.79,162.87,292.57,146.54,323.79,179.19,31.22,32.66,0.732,4.5,1.8
48,11,1.6,truck,416.19,141.37,441.86,141.37,390.51,109.79,441.86,172.94,51.35,63.15,0.7312,8.0,2.5
48,4,1.6,car,182.41,155.15,204.15,155.15,160.67,138.75,204.15,171.55,43.48,32.8,0.7175,4.5,1.8
48,8,1.6,truck,609.14,315.08,639.82,315.08,578.46,272.3,639.82,357.86,61.36,85.56,0.6865,8.0,2.5
48,6,1.6,car,210.37,122.08,222.73,122.08,198.0,112.72,222.73,131.44,24.73,18.72,0.6185,4.5,1.8
48,3,1.6,car,173.67,138.31,191.69,138.31,155.65,126.19,191.69,150.44,36.04,24.25,0.5855,4.5,1.8
48,1,1.6,truck,174.14,94.79,190.14,94.79,158.15,82.05,190.14,107.53,32.0,25.48,0.5619,8.0,2.5
48,29,1.6,truck,296.79,298.06,321.09,298.06,272.49,255.69,321.09,340.43,48.6,84.74,0.5263,8.0,2.5
51,20,1.7,car,97.65,184.33,129.02,184.33,66.29,165.37,129.02,203.29,62.72,37.92,0.8451,4.5,1.8
51,19,1.7,bus,413.71,86.38,452.26,86.38,375.17,70.42,452.26,102.33,77.1,31.91,0.6404,12.0,2.5
52,22,1.733,car,505.66,135.76,521.55,135.76,489.77,123.49,521.55,148.03,31.78,24.54,0.6131,4.5,1.8
53,28,1.767,car,102.69,221.06,146.84,221.06,58.53,195.19,146.84,246.92,88.31,51.73,0.8583,4.5,1.8
53,21,1.767,car,67.78,152.79,91.14,152.79,44.42,139.5,91.14,166.08,46.72,26.59,0.746,4.5,1.8
53,25,1.767,truck,380.95,116.4,395.33,116.4,366.56,96.32,395.33,136.48,28.77,40.16,0.5399,8.0,2.5
54,5,1.8,car,266.35,230.6,295.76,230.6,236.95,198.89,295.76,262.32,58.81,63.44,0.8345,4.5,1.8
54,11,1.8,truck,421.77,145.51,449.16,145.51,394.38,111.42,449.16,179.59,54.77,68.17,0.8227,8.0,2.5
54,9,1.8,car,306.88,168.66,323.94,168.66,289.83,151.23,323.94,186.08,34.12,34.85,0.7659,4.5,1.8
54,2,1.8,car,466.17,239.59,504.48,239.59,427.86,208.0,504.48,271.17,76.62,63.17,0.7522,4.5,1.8
54,7,1.8,car,551.2,167.1,574.2,167.1,528.19,149.32,574.2,184.89,46.01,35.57,0.7272,4.5,1.8
54,4,1.8,car,189.33,149.06,209.4,149.06,169.25,133.94,209.4,164.17,40.15,30.23,0.7222,4.5,1.8
54,6,1.8,car,214.01,118.71,225.39,118.71,202.62,109.64,225.39,127.78,22.76,18.14,0.653,4.5,1.8
54,3,1.8,car,180.43,134.49,198.73,134.49,162.13,122.81,198.73,146.16,36.59,23.34,0.6218,4.5,1.8
54,29,1.8,truck,293.72,319.98,320.87,319.98,266.57,281.95,320.87,358.0,54.3,76.04,0.6162,8.0,2.5
54,1,1.8,truck,179.23,92.35,192.35,92.35,166.11,79.73,192.35,104.98,26.24,25.25,0.4506,8.0,2.5
56,23,1.867,car,318.52,118.04,331.82,118.04,305.22,105.34,331.82,130.75,26.59,25.41,0.5072,4.5,1.8
57,20,1.9,car,112.56,176.3,141.21,176.3,83.91,158.48,141.21,194.12,57.29,35.64,0.843,4.5,1.8
57,19,1.9,bus,413.89,86.08,451.63,86.08,376.15,70.52,451.63,101.63,75.48,31.1,0.6264,12.0,2.5
57,30,1.9,bus,10.07,119.74,20.11,119.74,0.04,99.99,20.11,139.49,20.08,39.49,0.5835,12.0,2.5
58,22,1.933,car,505.41,135.86,521.38,135.86,489.43,123.43,521.38,148.3,31.95,24.87,0.5285,4.5,1.8
59,28,1.967,car,120.03,210.56,159.92,210.56,80.14,185.7,159.92,235.42,79.78,49.72,0.7729,4.5,1.8
59,21,1.967,car,77.55,148.46,99.76,148.46,55.33,135.7,99.76,161.21,44.43,25.51,0.6896,4.5,1.8
59,25,1.967,truck,382.94,119.12,398.04,119.12,367.85,98.15,398.04,140.08,30.2,41.94,0.6178,8.0,2.5
60,5,2.0,car,262.56,245.94,293.94,245.94,231.19,211.32,293.94,280.56,62.74,69.24,0.8279,4.5,1.8
60,11,2.0,truck,426.69,149.63,454.6,149.63,398.77,115.41,454.6,183.84,55.83,68.43,0.8251,8.0,2.5
60,9,2.0,car,306.42,175.56,324.99,175.56,287.85,157.07,324.99,194.06,37.14,36.98,0.7692,4.5,1.8
